YEAR;MONTH;DAY;HOUR;MINUTES;SECONDS;LONGITUDE;LATITUDE;DEPTH;MAG_TYPE;MAG;EVENT_NAME
2017; 9; 8; 4;54;32.00;-110.0865;  37.4043;  9.8;ml   ;4.3;UTAH
2017; 9; 8; 4;49;17.00; -93.8070;  15.0286; 35.0;Mww  ;8.0;NEAR COAST OF CHIAPAS, MEXICO
2017; 9; 8; 3;24; 7.00;-169.2284;  52.3276; 34.8;mb   ;4.7;FOX ISLANDS, ALEUTIAN ISLANDS
2017; 9; 7;17;36;15.00;-179.9484; -25.7436;479.5;mb   ;5.0;SOUTH OF FIJI ISLANDS
2017; 9; 7;17;26;49.00; 139.8112;  27.7643;448.2;Mww  ;6.1;BONIN ISLANDS, JAPAN REGION
2017; 9; 7;16;24;34.00; 125.0555;  25.9060;135.5;mb   ;4.3;SOUTHWESTERN RYUKYU ISL., JAPAN
2017; 9; 7;14;32; 3.00;  90.2279;  25.2750; 36.7;mb   ;4.1;INDIA-BANGLADESH BORDER REGION
2017; 9; 7;12;13;38.00;-111.4273;  42.5868;  5.6;Mwr  ;4.1;EASTERN IDAHO
2017; 9; 7; 8;42;32.00; -88.2548;  12.6541; 51.2;mb   ;4.7;OFF COAST OF CENTRAL AMERICA
2017; 9; 7; 8; 5;54.00; -69.1098; -20.8570;111.0;mb   ;4.4;NORTHERN CHILE
2017; 9; 7; 7; 5;24.00; -93.8108;  15.0132; 10.0;mb   ;4.4;NEAR COAST OF CHIAPAS, MEXICO
2017; 9; 7; 0;24;33.00; 179.7248; -24.7462;518.6;mb   ;4.9;SOUTH OF FIJI ISLANDS
2017; 9; 6;23; 7;59.00; -67.4237; -22.2184;186.1;mb   ;4.2;CHILE-BOLIVIA BORDER REGION
2017; 9; 6;22; 0;59.00; -70.2968; -22.1753; 33.1;mb   ;4.1;NEAR COAST OF NORTHERN CHILE
2017; 9; 6;21;25;15.00; 148.8619;  48.4080;390.1;mb   ;4.1;NORTHWEST OF KURIL ISLANDS
2017; 9; 6;19; 5;48.00;-173.6489; -15.3986; 55.5;mb   ;5.1;TONGA ISLANDS
2017; 9; 6;18;17; 0.00; -74.0000; -36.6884; 10.0;mb   ;4.2;OFF COAST OF CENTRAL CHILE
2017; 9; 6;18; 7;50.00; -66.4945; -23.2501;206.6;mb   ;4.1;JUJUY PROVINCE, ARGENTINA
2017; 9; 6;13;45; 9.00; -25.2686; -57.6952; 35.0;mb   ;5.0;SOUTH SANDWICH ISLANDS REGION
